"地域コード","都道府県","市区町村","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","75歳以上人口","75歳以上人口（男）","75歳以上人口（女）","外国人人口","出生数","死亡数","転入者数（日本人移動者）","転出者数（日本人移動者）","世帯数","一般世帯数","一般世帯人員数","核家族世帯数","単独世帯数","65歳以上の世帯員のいる核家族世帯数","高齢夫婦のみの世帯数","高齢単身世帯数（65歳以上の者１人）","婚姻件数","離婚件数","総面積（北方地域及び竹島を除く）","可住地面積","事業所数","事業所数（農業，林業）","事業所数（建設業）","事業所数（製造業）","事業所数（電気・ガス・熱供給・水道業）","事業所数（情報通信業）","事業所数（運輸業，郵便業）","事業所数（卸売業，小売業）","事業所数（金融業，保険業）","事業所数（不動産業，物品賃貸業）","事業所数（学術研究，専門・技術サービス業）","事業所数（宿泊業，飲食サービス業）","事業所数（生活関連サービス業，娯楽業）","事業所数（教育，学習支援業）","事業所数（医療，福祉）","事業所数（複合サービス事業）","事業所数（サービス業（他に分類されないもの））","事業所数（公務（他に分類されるものを除く））","第１次産業事業所数","第２次産業事業所数","第３次産業事業所数","従業者数","従業者数（農業，林業）","従業者数（建設業）","従業者数（製造業）","従業者数（電気・ガス・熱供給・水道業）","従業者数（情報通信業）","従業者数（運輸業，郵便業）","従業者数（卸売業，小売業）","従業者数（金融業，保険業）","従業者数（不動産業，物品賃貸業）","従業者数（学術研究，専門・技術サービス業）","従業者数（宿泊業，飲食サービス業）","従業者数（生活関連サービス業，娯楽業）","従業者数（教育，学習支援業）","従業者数（医療，福祉）","従業者数（複合サービス事業）","従業者数（サービス業（他に分類されないもの））","従業者数（公務（他に分類されるものを除く））","第１次産業従業者数","第２次産業従業者数","第３次産業従業者数","農家数（販売農家）","農家数（自給的農家）","経常収支比率（市町村財政）","実質公債費比率（市町村財政）","歳入決算総額（市町村財政）","地方税（市町村財政）","歳出決算総額（市町村財政）","民生費（市町村財政）","土木費（市町村財政）","教育費（市町村財政）","災害復旧費（市町村財政）","幼稚園数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","高等学校数","高等学校生徒数","就業者数","就業者数（男）","就業者数（女）","完全失業者数","完全失業者数（男）","完全失業者数（女）","非労働力人口","非労働力人口（男）","非労働力人口（女）","第１次産業就業者数","第２次産業就業者数","第３次産業就業者数","公民館数","図書館数","総人口（非水洗化人口＋水洗化人口）","非水洗化人口","小売店数","飲食店数","大型小売店数","一般病院数","一般診療所数","歯科診療所数","医師数","歯科医師数","薬剤師数","保育所等数","保育所等在所児数"
"R20446","長野県","麻績村","unknown","1299","1489","欠損値","1294","1478","248","130","118","1330","678","652","1210","欠損値","欠損値","764","272","492","16","8","72","89","98","unknown","998","2655","550","234","348","186","166","5","1","欠損値","1010","151","0","25","13","1","0","2","29","","欠損値","1","13","14","14","15","3","","6","0","38","113","1039","0","88","174","3","","","125","8","12","2","75","51","68","242","37","67","69","0","262","777","欠損値","258","79.5","5.8","2890691","254769","2806897","504124","504959","175220","21967","","0","unknown","15","91","1","11","68","0","0","1401","unknown","unknown","","","8","1109","364","745","306","298","796","26","0","2816","unknown","27","8","0","0","2","2","unknown","2","4","1","55"
"R20448","長野県","生坂村","1843","888","955","1830","886","944","190","93","97","914","unknown","unknown","739","317","422","446","164","unknown","13","6","29","36","79","欠損値","697","1835","371","181","欠損値","120","118","5","2","3905","739","111","0","33","10","0","0","unknown","18","0","1","1","6","9","2","11","5","7","欠損値","0","","67","欠損値","0","欠損値","60","","欠損値","欠損値","118","0","5","1","unknown","15","33","78","21","22","34","","189","367","欠損値","168","","unknown","2193915","163310","2133550","545178","欠損値","140637","11275","0","0","1","12","欠損値","1","11","unknown","0","0","902","514","欠損値","23","","6","728","264","unknown","145","255","501","11","0","1840","346","15","2","0","0","1","1","1","unknown","","1","欠損値"
"","長野県","山形村","8395","unknown","4261","8321","unknown","4220","1268","658","610","4868","2480","2388","2254","995","1259","1050","410","欠損値","72","61","108","unknown","","2725","2720","8256","1697","413","673","292","193","31","7","2498","","322","3","51","35","3","2","17","72","1","8","4","40","25","7","unknown","3","24","5","3","86","233","3079","17","191","332","10","57","unknown","915","4","26","17","257","110","21","329","51","67","69","17","523","2539","383","199","81.4","4.9","3557706","","3403269","1137441","397939","301117","0","0","0","1","29","","","unknown","0","欠損値","0","4700","2604","2096","138","88","50","2197","739","1458","欠損値","1264","欠損値","7","1","8773","31","58","33","3","0","5","2","unknown","3","8","2","296"
"R20451","欠損値","朝日村","4462","2172","2290","4434","2165","2269","508","243","265","2611","1341","","1343","588","755","740","欠損値","444","unknown","unknown","59","","130","1412","1409","欠損値","815","195","欠損値","150","99","11","10","7062","926","欠損値","2","22","30","2","0","8","24","0","2","5","12","7","unknown","17","2","6","5","2","52","unknown","1302","23","47","361","unknown","0","190","130","0","3","55","32","","98","196","47","18","34","23","408","871","","198","73.5","7.1","4705480","652463","4488495","","395184","271110","1015","unknown","0","1","17","227","1","36","469","0","0","2536","1380","1156","64","39","25","1322","492","830","541","647","1270","6","1","4622","66","11","8","0","0","1","2","2","3","0","1","102"
"R20452","長野県","筑北村","4730","2323","2407","4690","2309","","406","216","190","2343","1240","1103","1981","unknown","1114","1057","416","641","40","14","74","unknown","140","1780","1780","4730","1027","393","707","329","245","20","5","9947","1542","222","4","47","19","1","0","欠損値","58","0","欠損値","3","16","12","8","19","4","欠損値","8","4","66","152","1188","51","欠損値","164","13","0","17","233","0","3","6","62","22","97","237","18","unknown","91","51","304","833","337","499","78.4","4.8","4567062","398227","4390093","960409","226151","551244","","0","0","2","26","","欠損値","14","62","1","23","unknown","1385","1047","150","106","44","1737","614","1123","512","578","1334","1","1","4776","574","45","8","0","0","3","1","unknown","1","4","2","97"
"R20481","長野県","池田町","9926","4719","5207","9859","4702","","unknown","577","531","欠損値","2576","2622","3618","1565","2053","1838","711","1127","66","33","174","233","281","3518","unknown","9629","欠損値","","1161","615","","31","14","4016","1738","","6","85","60","1","1","10","100","5","10","21","27","40","欠損値","unknown","5","24","6","6","145","317","3608","32","275","749","5","2","93","639","27","20","44","","84","322","982","31","117","80","32","1024","2552","390","322","84.9","8.8","5390984","952896","5242333","1400509","495358","1043125","19335","0","unknown","2","31","424","1","21","236","1","欠損値","4813","欠損値","2148","181","123","58","3726","1303","欠損値","444","1374","2971","34","1","10058","217","89","21","3","unknown","7","3","56","6","30","2","202"
"R20482","欠損値","松川村","9948","4762","5186","9833","","5121","1237","606","631","5511","2769","2742","3195","1383","欠損値","欠損値","","1043","","65","105","276","304","3497","unknown","9703","欠損値","723","987","511","356","35","16","4707","2060","394","4","70","58","2","","欠損値","81","unknown","4","13","38","","16","41","3","13","6","4","130","260","2742","40","224","622","19","0","24","480","47","unknown","欠損値","182","133","欠損値","510","28","138","94","40","857","1845","","159","75.6","3.5","","欠損値","4173641","1294898","640359","481682","欠損値","0","0","1","26","","unknown","26","273","0","0","5186","2885","2301","170","105","65","3332","1149","2183","572","欠損値","2912","17","1","9777","678","","30","1","0","8","5","9","5","13","2","260"
"R20485","欠損値","白馬村","8929","4427","4502","8786","4351","4435","1064","","528","5233","2692","2541","2625","1194","1431","1272","505","767","142","51","92","356","418","3477","3473","8771","1998","937","876","430","278","49","10","18936","5677","","8","79","17","4","8","20","120","4","unknown","25","欠損値","53","24","31","5","26","5","8","96","1061","6029","67","424","206","46","23","欠損値","605","43","139","81","2527","","166","336","48","131","106","67","630","5332","239","293","76.6","","6453422","1483103","6215376","1111939","1022925","unknown","11795","1","74","2","unknown","431","欠損値","17","209","1","210","4885","","2122","174","109","65","2581","890","1691","281","686","3798","1","1","8805","欠損値","107","unknown","欠損値","0","8","unknown","8","4","8","1","146"
"R20486","欠損値","小谷村","2904","1454","1450","2852","","1420","299","141","158","1509","828","681","1093","","611","628","262","366","欠損値","15","43","99","117","1195","1194","2886","572","402","352","192","172","7","2","26791","3712","344","0","欠損値","unknown","2","0","8","37","1","4","4","183","13","11","unknown","7","14","5","0","44","300","欠損値","0","264","67","欠損値","0","127","181","1","12","25","809","31","49","82","42","34","欠損値","0","331","1476","141","200","78.7","12","7513246","","欠損値","510001","","371280","654161","0","0","1","14","129","1","12","58","0","","1602","941","661","","","7","958","335","623","170","342","unknown","1","1","2960","508","33","23","0","0","2","1","1","1","1","1","62"
"R20521","長野県","欠損値","14871","7287","7584","14594","7126","7468","1796","879","917","8113","欠損値","3937","4925","2209","欠損値","2426","","1457","266","unknown","","350","425","5473","5466","14616","3271","1249","欠損値","879","550","unknown","19","欠損値","unknown","718","unknown","欠損値","239","2","1","12","113","7","16","26","47","44","23","43","6","32","6","9","331","378","8070","69","307","5354","6","1","186","692","118","25","57","166","200","193","398","57","","115","unknown","","2340","289","欠損値","89.2","8.8","欠損値","2640311","7015578","1814331","933855","499086","0","1","48","3","55","unknown","1","unknown","386","1","286","7516","4303","3213","283","190","93","5194","欠損値","3329","unknown","3312","3591","","1","15190","3876","unknown","37","2","0","10","5","8","5","27","3",""
"","長野県","小布施町","10702","5136","5566","10654","5117","欠損値","欠損値","743","678","5765","2807","2958","3510","1584","1926","1704","684","1020","欠損値","65","142","308","293","unknown","3522","10602","2171","498","1127","557","277","33","欠損値","1912","1651","511","14","71","67","1","4","5","135","2","14","unknown","欠損値","39","17","38","2","28","5","14","140","357","3842","267","246","unknown","5","8","30","899","29","38","28","273","unknown","140","791","","104","125","267","unknown","unknown","613","216","88.4","7.3","5033623","1157846","4602960","欠損値","670362","481545","0","0","0","1","30","618","1","23","326","0","0","6012","3189","欠損値","162","104","58","3093","unknown","1997","1376","1455","3150","29","1","11097","354","107","53","unknown","1","7","4","欠損値","8","21","3","247"
"R20543","","高山村","7033","3469","3564","unknown","3446","3540","863","469","unknown","3898","1987","1911","2263","unknown","1257","1154","445","unknown","47","27","108","169","160","欠損値","2288","6938","1328","358","683","305","183","23","3","9856","1306","334","4","72","72","1","3","8","欠損値","2","2","欠損値","39","20","13","欠損値","unknown","17","7","4","144","186","2210","19","239","738","5","10","99","224","20","28","8","unknown","44","81","299","38","28","84","欠損値","977","1214","","250","77.5","8.8","4197082","719969","3973755","919393","unknown","299238","7878","0","0","1","19","371","1","18","182","0","","4025","2224","1801","110","76","欠損値","欠損値","691","1333","802","1234","1970","1","0","6889","357","36","unknown","0","欠損値","3","1","2","1","3","1","欠損値"
"R20561","長野県","山ノ内町","12429","5992","6437","12327","5968","欠損値","1214","640","574","6464","3316","3148","4726","unknown","2702","2605","1007","unknown","93","58","217","259","407","4465","4459","12294","unknown","1036","1423","654","590","47","15","","2996","901","22","113","27","4","1","12","155","","33","欠損値","342","70","22","30","8","30","6","","140","738","5223","162","414","179","11","1","259","586","50","109","35","2205","196","欠損値","450","unknown","132","167","unknown","593","4459","599","326","78.4","9.7","7087438","1754776","6718688","1756396","欠損値","593996","32417","0","0","3","unknown","467","1","22","277","0","0","7097","3799","3298","226","","67","3839","1368","2471","1772","1192","4096","27","1","12802","1333","121","unknown","0","0","4","3","3","4","5","","285"
"R20562","欠損値","欠損値","4658","2248","2410","4632","2243","unknown","567","280","287","2426","1248","1178","1661","718","943","欠損値","欠損値","612","25","15","85","136","108","1564","","4530","830","","unknown","236","185","16","6","9932","1711","237","15","37","欠損値","2","1","8","46","0","欠損値","4","52","17","8","11","unknown","14","4","15","51","171","unknown","101","155","298","3","6","59","179","0","4","5","138","39","109","234","39","38","84","101","453","937","","","82.9","欠損値","3832380","411644","3721250","667216","518978","273757","1396","unknown","0","1","16","219","1","17","120","1","unknown","2595","","1171","66","unknown","16","1421","489","932","670","564","1342","27","0","4857","450","47","15","","欠損値","4","1","2","2","5","1","161"
"欠損値","長野県","unknown","3479","","1824","3466","1649","1817","364","182","unknown","1869","955","914","1243","515","728","722","250","472","","欠損値","欠損値","102","127","1159","unknown","3413","欠損値","unknown","309","121","136","11","1","5796","902","482","6","unknown","11","2","1","欠損値","61","0","6","8","299","16","欠損値","unknown","2","10","6","欠損値","38","438","unknown","61","120","53","4","unknown","322","188","欠損値","34","24","1031","80","231","180","32","32","72","unknown","173","","181","207","87","8.4","3940521","428041","3786310","unknown","592861","309280","4523","0","0","","13","欠損値","1","13","74","0","0","1947","1077","870","欠損値","22","欠損値","1114","","754","249","335","1355","","unknown","3641","unknown","56","49","0","0","4","1","2","3","unknown","1","92"
"R20583","長野県","信濃町","8469","unknown","4356","8408","4090","4318","欠損値","441","383","4342","2209","2133","3295","1460","1835","1714","663","1051","56","欠損値","140","170","244","3157","3152","8363","1815","685","1107","569","unknown","18","9","14930","3672","欠損値","23","","57","2","2","13","105","2","13","15","146","35","22","20","","33","6","24","unknown","419","3729","unknown","377","644","8","unknown","132","513","24","43","36","626","193","155","376","50","176","135","226","1021","2482","430","欠損値","91.7","8.6","5793280","1125810","5675573","1161756","732292","772570","9568","0","0","0","0","0","0","0","0","0","0","unknown","2500","1984","132","unknown","36","3016","1069","1947","760","1106","2586","5","0","8528","2072","83","43","0","1","3","3","7","5","10","unknown","147"
"R20588","長野県","小川村","2665","1292","1373","2653","1289","1364","260","146","114","1192","641","","unknown","505","708","752","271","unknown","12","9","63","63","78","1086","1085","2655","591","307","412","欠損値","230","5","1","5811","1142","153","0","32","17","1","0","2","42","0","2","3","13","9","4","9","3","10","unknown","0","49","104","824","0","100","212","1","unknown","8","156","0","3","unknown","64","25","10","136","27","20","57","0","312","512","121","341","92.3","7.5","3264767","187068","2984009","556974","unknown","183882","85991","","欠損値","1","13","","1","12","54","0","0","1324","752","572","42","unknown","6","1032","355","677","欠損値","367","687","1","0","","355","33","3","0","0","1","1","1","unknown","0","1","56"
"R20590","欠損値","飯綱町","11063","5360","5703","11018","5337","5681","1162","569","593","5922","3019","欠損値","3975","1769","2206","2083","816","1267","44","48","147","239","301","","3759","10870","2223","619","1264","638","394","37","21","7500","3421","423","7","71","欠損値","2","3","6","90","1","2","12","45","33","24","48","5","31","7","7","107","309","3031","128","unknown","634","11","19","","458","14","2","40","203","unknown","113","652","54","68","120","128","928","1975","945","欠損値","88.2","欠損値","7331653","","6854636","1389363","490405","999223","","欠損値","0","unknown","unknown","486","1","欠損値","240","1","316","","3482","2930","163","","48","3311","1183","2128","欠損値","1422","3301","unknown","0","11387","1086","unknown","20","1","1","4","3","12","6","14","欠損値","249"
